The Dark Knight Rises|Action,Thriller,Superhero,Drama
The Batman|Action,Crime,Mystery,Detective
Interstellar|Sci-Fi,Drama,Adventure,Space
The Matrix Resurrections|Sci-Fi,Action,Cyberpunk
The Avengers: Endgame|Action,Sci-Fi,Superhero,Fantasy
Spider-Man: No Way Home|Action,Sci-Fi,Superhero,Adventure
Doctor Strange|Action,Sci-Fi,Superhero,Magic
Black Panther|Action,Sci-Fi,Superhero,Drama
Thor: Ragnarok|Action,Adventure,Comedy,Superhero
Guardians of the Galaxy|Action,Adventure,Comedy,Sci-Fi
Deadpool|Action,Comedy,Superhero
Logan|Action,Drama,Superhero,Emotional
Inception|Sci-Fi,Thriller,Action,Mind-bending
The Prestige|Thriller,Mystery,Sci-Fi,Mind-bending
Shutter Island|Thriller,Mystery,Psychological,Mind-bending
Fight Club|Drama,Thriller,Psychological,Mind-bending
Memento|Thriller,Mystery,Psychological,Mind-bending
The Machinist|Thriller,Mystery,Psychological,Dark
Black Swan|Drama,Thriller,Psychological
Zodiac|Crime,Mystery,Thriller,Detective
Se7en|Crime,Mystery,Thriller,Dark
Prisoners|Crime,Mystery,Thriller,Drama
Nightcrawler|Crime,Thriller,Drama,Dark
Joker|Crime,Drama,Psychological,Dark
The Godfather Part II|Crime,Drama,Classic
Scarface|Crime,Drama,Action
Goodfellas|Crime,Drama,Biography
Casino|Crime,Drama
The Departed|Crime,Thriller,Drama
The Irishman|Crime,Drama,Biography
Pulp Fiction|Crime,Thriller,Dark-Comedy,Classic
Django Unchained|Action,Drama,Western
Inglourious Basterds|Action,Drama,War,History
Once Upon a Time in Hollywood|Drama,Comedy
The Wolf of Wall Street|Biography,Comedy,Crime,Drama
Catch Me If You Can|Biography,Crime,Drama,Comedy
The Social Network|Biography,Drama
Steve Jobs|Biography,Drama
The Theory of Everything|Biography,Drama,Romance
A Beautiful Mind|Biography,Drama,Psychological
Imitation Game|Biography,Drama,Thriller,War
Schindler's List|Drama,History,War,Biography
Oppenheimer|Biography,Drama,History,War
Dunkirk|Action,Drama,History,War
1917|Action,Drama,War,History
Saving Private Ryan|Action,Drama,War
Gladiator|Action,Drama,History,Epic
Troy|Action,Drama,History,Epic
Kingdom of Heaven|Action,Drama,History,Epic
Braveheart|Action,Drama,History,Biography
The Lord of the Rings: The Fellowship of the Ring|Fantasy,Adventure,Epic
The Lord of the Rings: The Two Towers|Fantasy,Adventure,Epic
The Lord of the Rings: The Return of the King|Fantasy,Adventure,Epic
The Hobbit: An Unexpected Journey|Fantasy,Adventure
Harry Potter and the Sorcerer's Stone|Fantasy,Adventure,Family,Magic
Harry Potter and the Prisoner of Azkaban|Fantasy,Adventure,Magic
Harry Potter and the Deathly Hallows|Fantasy,Adventure,Magic
The Chronicles of Narnia|Fantasy,Adventure,Family
Pirates of the Caribbean|Action,Adventure,Fantasy,Comedy
Avatar: The Way of Water|Sci-Fi,Adventure,Action,Fantasy
Dune: Part Two|Sci-Fi,Adventure,Epic,Action
Blade Runner 2049|Sci-Fi,Thriller,Cyberpunk,Dystopian
Mad Max: Fury Road|Action,Thriller,Sci-Fi,Post-Apocalyptic
The Hunger Games|Action,Sci-Fi,Thriller,Dystopian
The Notebook|Romance,Drama,Emotional
La La Land|Romance,Musical,Drama,Hollywood
Titanic|Romance,Drama,History,Tragedy
Pride & Prejudice|Romance,Drama,Period-Piece
About Time|Romance,Sci-Fi,Comedy,Drama
Before Sunrise|Romance,Drama
Before Sunset|Romance,Drama
The Fault in Our Stars|Romance,Drama,Emotional
A Walk to Remember|Romance,Drama,Emotional
500 Days of Summer|Romance,Comedy,Drama
Crazy Rich Asians|Romance,Comedy
The Proposal|Romance,Comedy
Notting Hill|Romance,Comedy,Drama
Pretty Woman|Romance,Comedy
The Lion King|Animation,Drama,Musical,Family
Toy Story 4|Animation,Comedy,Family,Adventure
Coco|Animation,Fantasy,Musical,Family
Up|Animation,Adventure,Drama,Family
Finding Nemo|Animation,Adventure,Family
Wall-E|Animation,Sci-Fi,Family,Romance
Inside Out|Animation,Comedy,Drama,Family
Spider-Man: Across the Spider-Verse|Animation,Action,Sci-Fi,Superhero
Spirited Away|Animation,Fantasy,Adventure,Anime
Your Name|Animation,Romance,Fantasy,Anime
My Neighbor Totoro|Animation,Fantasy,Family,Anime
Superbad|Comedy,Coming-Of-Age
The Hangover|Comedy,Adventure
21 Jump Street|Comedy,Action
Zombieland|Comedy,Horror,Action
The Grand Budapest Hotel|Comedy,Drama,Stylized
Knives Out|Mystery,Comedy,Thriller,Detective
Glass Onion|Mystery,Comedy,Thriller,Detective
Enola Holmes|Mystery,Adventure,Comedy
Get Out|Thriller,Horror,Mystery,Psychological
The Conjuring|Horror,Mystery,Supernatural
A Quiet Place|Horror,Sci-Fi,Thriller
It Chapter One|Horror,Supernatural,Drama
Hereditary|Horror,Mystery,Psychological,Dark
Midsommar|Horror,Mystery,Drama,Dark
The Exorcist|Horror,Supernatural,Classic
Insidious|Horror,Mystery,Supernatural
Dangal|Drama,Sport,Biography,Bollywood
3 Idiots|Comedy,Drama,Bollywood,Inspirational
Sholay|Action,Adventure,Classic,Bollywood
Lagaan|Drama,Sport,History,Bollywood
Gangs of Wasseypur|Crime,Action,Drama,Bollywood,Dark
Chhichhore|Comedy,Drama,Bollywood,College
Gazi Attack|Action,Thriller,War,Bollywood
Uri: The Surgical Strike|Action,War,Drama,Bollywood
Andhadhun|Thriller,Mystery,Comedy,Bollywood
Drishyam|Thriller,Mystery,Drama,Bollywood
Special 26|Crime,Thriller,Comedy,Bollywood
Baby|Action,Thriller,Spy,Bollywood
Zindagi Na Milegi Dobara|Drama,Comedy,Adventure,Bollywood
Yeh Jawaani Hai Deewani|Romance,Comedy,Drama,Bollywood
Dil Chahta Hai|Drama,Comedy,Bollywood
Barfi|Drama,Romance,Comedy,Bollywood
Bajrangi Bhaijaan|Drama,Comedy,Emotional,Bollywood
PK|Comedy,Sci-Fi,Drama,Bollywood
Sanju|Biography,Drama,Bollywood
Jawan|Action,Thriller,Masala,Bollywood
Pathaan|Action,Thriller,Spy,Bollywood
Super 30|Biography,Drama,Inspirational,Bollywood
